Расходы по тушению лесных пожаров;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Единицы измерения: ;* тысяча рублей;;;;;;;;;;;;;;;;;;;;;;;;
Периодичность и характеристика временного ряда: ;"- Годовая
  * Характеристика: не охарактеризована
  * Представляется: 14 декабря";;;;;;;;;;;;;;;;;;;;;;;;
Период действия: ;с 01.01.2000по 31.12.2012;;;;;;;;;;;;;;;;;;;;;;;;
Длина временного ряда: ;2000 - 2012;;;;;;;;;;;;;;;;;;;;;;;;
Последнее обновление данных: ;08.02.2023;;;;;;;;;;;;;;;;;;;;;;;;
Признаки (перечень на базе классификаторов и справочников): ;- Классификатор объектов административно-территориального деления (ОКАТО);;;;;;;;;;;;;;;;;;;;;;;;
Методологические пояснения: ;"Расходы, связанные с тушением лесных пожаров, включают: заработную плату занятых тушением пожара рабочих организаций, мехотрядов, иных категорий населения; стоимость услуг по эксплуатации машин, тракторов, других механизмов, использованных при тушении лесного пожара, рассчитанную, исходя из отработанных смен; стоимость израсходованных при тушении пожара материалов, средств тушения и другого имущества, используемого при тушении пожара; другие расходы, связанные с мерами по тушению лесного пожара, предусмотренные действующим законодательством.";;;;;;;;;;;;;;;;;;;;;;;;
Источники и способ формирования показателя: ;* Сведения о лесных пожарах;;;;;;;;;;;;;;;;;;;;;;;;
Ведомство (субъект статистического учета): ;Федеральная служба государственной статистики;;;;;;;;;;;;;;;;;;;;;;;;
Подразделение: ;Управление статистики сельского хозяйства и окружающей природной среды;;;;;;;;;;;;;;;;;;;;;;;;
Размещение: ;Информация о лесоводстве;;;;;;;;;;;;;;;;;;;;;;;;
Комментарий: ; Статистические данные по Российской Федерации публикуются без учета статистической информации по Донецкой Народной Республике (ДНР), Луганской Народной Республике (ЛНР), Запорожской и Херсонской областям;;;;;;;;;;;;;;;;;;;;;;;;
Ответственный: ;Бойко М.В. - (495) 568-00-42 (доб. 99794) boikomv@rosstat.gov.ru;;;;;;;;;;;;;;;;;;;;;;;;
